A0_DT,A0_PS,A1_DT,A1_PS,A2_DT,A2_PS,A3_DT,A3_PS,A4_DT,A4_PS,A5_DT,A5_PS
0,11820,0.1691,23964,0.3632,2377,0.2151,1981,3.8049,1981,0.0192,11854
0,11916,0.133,24013,0.2937,3390,0.1671,3034,3.0239,3034,0.0051,11950
0,11930,0.14400000000000002,23869,0.28309999999999996,3862,0.1427,3506,3.6732,3506,0.0060999999999999995,11964
0,11914,0.10880000000000001,23725,0.304,2874,0.1392,2522,3.4916,2522,0.0129,11948
0,11970,0.1161,24025,0.2905,2370,0.1277,2370,2.6882,2370,0.004699999999999999,12004
0,11935,0.11699999999999999,24026,0.32189999999999996,1915,0.1361,1915,2.5368,1915,0.0038,11969
0,12117,0.1148,24177,0.3225,1611,0.1325,1611,2.325,1611,0.0037,12151
0,12133,0.11560000000000001,24518,0.3025,2452,0.1252,2452,2.5827999999999998,2452,0.0034999999999999996,12167
0,12133,0.0958,56,0.3063,56,0.3135,56,0.1075,56,0.12369999999999999,56
0,12077,0.122,24283,0.3665,1921,0.168,1921,2.539,1921,0.0045000000000000005,12111
0,12067,0.11410000000000001,24326,0.3132,1942,0.131,1942,2.4623,1942,0.0064,12101
0,12046,0.115,24284,0.2827,3340,0.1231,3340,2.9957,3340,0.0045000000000000005,12080
0,12145,0.1288,24256,0.29710000000000003,2418,0.12869999999999998,2418,2.8105,2418,0.0040999999999999995,12179
0,11968,0.1617,23925,0.3225,3853,0.1437,3853,3.2031,3853,0.0032,12002
0,12023,0.1268,24141,0.3342,1490,0.1441,1490,2.4324,1490,0.0044,12057
0,11998,0.1118,24366,0.28350000000000003,2864,0.12050000000000001,2864,2.717,2864,0.006999999999999999,12032
0,12096,0.135,24665,0.3116,2011,0.2006,1568,2.5474,2011,0.0033,12130
0,12117,0.1084,21716,0.324,530,0.1485,530,1.7593,530,0.0029,12151
0,12092,0.13019999999999998,24300,0.32030000000000003,1427,0.1379,1115,3.1094999999999997,1115,0.0044,12126
0,12149,0.1118,24399,0.3166,1058,0.134,1058,2.228,1058,0.0194,12183
0,12098,0.1259,24364,0.3265,982,0.1376,604,2.0977,604,0.0045000000000000005,12132
0,12172,0.11289999999999999,24892,0.30820000000000003,2931,0.1247,2931,2.6323000000000003,2931,0.0069,12206
0,12053,0.1142,24992,0.2872,2342,0.1245,2342,2.4951,2342,0.004699999999999999,12087
0,12010,0.12179999999999999,24886,0.30670000000000003,979,0.13019999999999998,979,2.106,979,0.006,12044
0,12176,0.1233,24820,0.2944,3006,0.12560000000000002,2629,2.8945,2629,0.0029,12210
0,12054,0.126,24630,0.2969,1397,0.1286,1397,2.2803999999999998,1397,0.003,12088
0,12050,0.156,24544,0.2865,2503,0.13,2126,3.3092,2126,0.0046,12084
0,12128,0.12689999999999999,24645,0.33509999999999995,2509,0.1313,2509,2.5842,2509,0.0044,12162
0,12187,0.1783,24757,0.302,2001,0.1319,1651,3.3672000000000004,1651,0.0045000000000000005,12221
0,12196,0.12300000000000001,24501,0.3084,1523,0.12789999999999999,1523,2.2499000000000002,1523,0.0044,12230
0,12317,0.114,24344,0.2809,3450,0.12380000000000001,3071,2.7522,3071,0.0046,12351
0,12321,0.1124,23976,0.2896,3853,0.1243,3537,2.9254000000000002,3537,0.0027,12355
0,12466,0.1288,24588,0.2796,3451,0.1282,3135,3.0612,3135,0.0044,12500
0,12418,0.1317,24612,0.2812,2893,0.1233,2893,2.6387,2893,0.0045000000000000005,12452
0,12442,0.12269999999999999,25005,0.30670000000000003,1530,0.12890000000000001,1530,2.2156000000000002,1530,0.0028000000000000004,12476
0,12302,0.12119999999999999,24969,0.32909999999999995,1395,0.1349,1395,2.2591,1395,0.0028000000000000004,12336
0,11993,0.11359999999999999,24387,0.2853,3691,0.1152,3691,2.8857999999999997,3691,0.0044,12027
0,11954,0.1253,24246,0.3123,2441,0.1259,2441,2.5106,2441,0.0029,11988
0,11990,0.12300000000000001,24468,0.3232,2054,0.1282,2054,2.3741,2054,0.0045000000000000005,12024
0,11960,0.11699999999999999,24691,0.2959,1941,0.12369999999999999,1941,2.4198,1941,0.0048,11994
0,12028,0.1334,24691,0.2768,3423,0.1183,3423,2.7794,3423,0.0044,12062
0,12085,0.1336,24676,0.2933,4263,0.12710000000000002,3563,3.0801999999999996,3563,0.0044,12119
0,12204,0.1266,24883,0.2805,2959,0.1258,2959,2.7406,2959,0.0045000000000000005,12238
0,12167,0.1166,24626,0.2868,2480,0.122,2480,2.6201999999999996,2480,0.003,12201
0,12133,0.1253,24417,0.278,2890,0.1195,2890,2.7560000000000002,2890,0.0027,12167
0,12113,0.126,24415,0.2818,2893,0.12050000000000001,2893,2.7704000000000004,2893,0.0045000000000000005,12147
0,12195,0.12890000000000001,24381,0.273,3408,0.1173,3408,2.8643,3408,0.0029,12229
0,12147,0.1144,24494,0.2975,1938,0.1245,1938,2.452,1938,0.0028000000000000004,12181
0,12096,0.11230000000000001,24312,0.3095,1440,0.1378,1096,3.2571,1096,0.0045000000000000005,12130
0,12096,0.0697,56,0.29350000000000004,56,0.2957,56,0.1056,56,0.121,56
0,12116,0.1283,24722,0.2984,1986,0.1308,1986,2.4045,1986,0.0045000000000000005,12150
0,12088,0.1276,24134,0.2928,2400,0.1241,2400,2.5269999999999997,2400,0.004699999999999999,12122
0,12114,0.11460000000000001,24304,0.3002,1538,0.127,1538,2.2783,1538,0.0043,12148
0,12094,0.1204,24102,0.3077,1913,0.1259,1913,2.426,1913,0.0044,12128
0,12154,0.1168,24508,0.2772,3948,0.1162,3948,2.9217,3948,0.0045000000000000005,12188
0,12141,0.1159,24423,0.30579999999999996,966,0.19,1268,2.117,1268,0.0043,12175
0,11982,0.127,24354,0.28059999999999996,3178,0.1452,2847,2.8256,2847,0.0028000000000000004,12016
0,12106,0.1166,24775,0.2751,3936,0.11320000000000001,3936,2.9485,3936,0.0029,12140
0,12070,0.11630000000000001,24812,0.30519999999999997,1502,0.12710000000000002,1502,2.2891,1502,0.0044,12104
0,12085,0.1186,24859,0.289,3455,0.15039999999999998,3455,3.5433,3455,0.0049,12119
