A0_DT,A0_PS,A1_DT,A1_PS,A2_DT,A2_PS,A3_DT,A3_PS,A4_DT,A4_PS,A5_DT,A5_PS
0,87098,0.8015000000000001,982,1.8673,55337,1.7973,982,5.4517999999999995,982,0.0622,87135
0,87098,0.7707999999999999,593,2.4757,25936,1.4011000000000002,593,3.9794,593,0.12240000000000001,87135
0,88085,1.1415,129737,1.2038,74983,2.0138,5305,6.8877,16066,0.0015,88122
0,88085,0.7676999999999999,969,1.9102000000000001,49584,1.7929,969,5.2975,969,0.0819,88122
0,88085,0.8087000000000001,1037,1.8837000000000002,54653,1.99,1037,5.5784,1037,0.0336,88122
0,88087,0.7766,937,2.026,48538,1.7582,937,4.4162,937,0.0325,88124
0,88087,0.7515000000000001,827,1.9188,48749,1.7628,827,4.0206,827,0.0404,88124
0,88087,0.7483,475,2.5373,27154,1.3987,475,3.0975,475,0.0397,88124
0,88087,0.7403,1237,1.485,65735,2.0313999999999997,1237,5.511,1237,0.0319,88124
0,88087,0.7315,799,2.1524,38607,1.5697,799,3.9901999999999997,799,0.0334,88124
0,89718,1.1347,131097,1.7730000000000001,56433,1.8263999999999998,6583,5.1835,10936,0.0028000000000000004,89755
0,89718,0.8458,1012,1.7971000000000001,54660,1.9176,1012,4.8387,1012,0.0828,89755
0,88711,1.1715,127014,1.5902,61689,1.8385,7557,4.8453,7557,0.0015,88748
0,91156,1.1326,131721,1.8719,53073,1.7115,6347,5.385800000000001,25179,0.0016,91193
