A0_DT,A0_PS,A1_DT,A1_PS,A2_DT,A2_PS,A3_DT,A3_PS,A4_DT,A4_PS,A5_DT,A5_PS
0,15507,0.1444,7142,0.5017,9415,0.6192,7142,10.4406,7142,0.0109,15544
0,15439,0.1137,8279,0.4106,10573,0.5595,8279,9.9296,8279,0.0019,15476
0,15425,0.1188,7583,0.3921,10151,0.527,7583,9.8664,7583,0.002,15462
0,15506,0.0977,6281,0.4033,8992,0.5105,6281,9.9283,6281,0.0019,15543
0,15434,0.10289999999999999,6972,0.3918,10160,0.5124,6972,9.874500000000001,6972,0.002,15471
0,15250,0.1124,6937,0.4029,8739,0.5046,6937,9.8877,6937,0.0072,15287
0,15426,0.1833,8229,0.4536,17287,0.5858,8229,10.881300000000001,8229,0.0017000000000000001,15463
0,15508,0.1108,5710,0.4217,8181,0.5129,5710,10.0053,5710,0.0017000000000000001,15545
0,15518,0.09880000000000001,6447,0.4121,9016,0.5102,6447,9.906699999999999,6447,0.0023,15555
0,15520,0.0933,5567,0.4035,9031,0.5085999999999999,5567,9.9673,5567,0.0017000000000000001,15557
0,15516,0.10039999999999999,6757,0.4056,9833,0.5069,6757,9.9619,6757,0.003,15553
0,15508,0.0951,6443,0.39880000000000004,9427,0.5253,6443,10.2456,6443,0.0019,15545
0,15511,0.1082,6358,0.4039,9408,0.5246999999999999,6358,10.237400000000001,6358,0.0016,15548
0,15515,0.0943,6051,0.4039,9004,0.5052,6051,9.9088,6051,0.0016,15552
0,15506,0.0955,6970,0.2723,17367,0.4954,6970,11.2974,6970,0.0015,15543
0,15518,0.0987,6092,0.4254,8598,0.5036,6092,9.8208,6092,0.0018,15555
0,15512,0.0933,5886,0.40259999999999996,9000,0.524,5886,9.8616,5886,0.0025,15549
0,15348,0.0926,5520,0.3951,9257,0.5013000000000001,5520,9.8614,5520,0.0016,15385
0,15433,0.0959,6563,0.41259999999999997,8513,0.5063,6563,9.926499999999999,6563,0.0016,15470
0,15420,0.09449999999999999,5584,0.43520000000000003,8500,0.5052,5584,9.8311,5584,0.0016,15457
0,15507,0.0962,7094,0.3969,9812,0.5259,7094,9.8719,7094,0.0015,15544
0,15514,0.1638,8625,0.2755,17375,0.5042,8625,10.7007,8625,0.0015,15551
0,15507,0.0943,6138,0.3995,8997,0.5047,6138,9.8149,6138,0.0016,15544
0,15511,0.1121,5610,0.4226,8606,0.5072,5610,9.7726,5610,0.0016,15548
0,15430,0.0946,6349,0.39880000000000004,8935,0.5009,6349,10.0137,6349,0.0016,15467
0,15501,0.10189999999999999,8043,0.40369999999999995,9833,0.5278,8043,10.0299,8043,0.0016,15538
0,15434,0.0953,6590,0.39549999999999996,9345,0.5047,6590,9.8804,6590,0.0016,15471
0,15426,0.09539999999999998,6548,0.4242,8929,0.5125,6548,9.8701,6548,0.0016,15463
0,15513,0.0959,6863,0.40240000000000004,9016,0.5059,6863,9.8171,6863,0.0016,15550
0,15430,0.1066,8428,0.2709,17291,0.4928,8428,10.6281,8428,0.0016,15467
0,15434,0.0953,6475,0.4078,8532,0.5333,6475,9.8065,6475,0.0016,15471
0,15515,0.1001,6413,0.4235,9019,0.5214,6413,9.7672,6413,0.0016,15552
0,15427,0.0998,6783,0.401,9759,0.5191,6783,10.0284,6783,0.0017000000000000001,15464
0,15431,0.0944,5667,0.4264,8511,0.5101,5667,10.2745,5667,0.0017000000000000001,15468
0,15505,0.0949,5367,0.4036,9416,0.5112,5367,9.8664,5367,0.0018,15542
0,15500,0.09570000000000001,5763,0.408,8587,0.5069,5763,9.712200000000001,5763,0.0017000000000000001,15537
0,15499,0.09820000000000001,8038,0.2697,17360,0.4976,8038,10.610899999999999,8038,0.0017000000000000001,15536
0,15503,0.0941,5894,0.41,8598,0.5092,5894,9.7647,5894,0.0017000000000000001,15540
0,15510,0.0966,6062,0.39299999999999996,9842,0.5053,6062,9.8762,6062,0.0017000000000000001,15547
0,15502,0.095,6501,0.40340000000000004,8990,0.501,6501,9.8406,6501,0.0017000000000000001,15539
0,15424,0.09820000000000001,8008,0.3812,10148,0.5086999999999999,8008,9.8253,8008,0.0017000000000000001,15461
0,15433,0.1375,8089,0.39039999999999997,10159,0.5142,8089,9.8454,8089,0.0017000000000000001,15470
0,15510,0.09960000000000001,7092,0.4172,9004,0.5172,7092,9.79,7092,0.0017000000000000001,15547
0,15507,0.0983,7293,0.39149999999999996,9820,0.5025999999999999,7293,9.7985,7293,0.0017000000000000001,15544
0,15442,0.0993,7946,0.2664,17303,0.5033,7946,10.6748,7946,0.0017000000000000001,15479
0,15439,0.10060000000000001,4825,0.4204,6825,0.5015999999999999,4825,7.9125,4825,0.0017000000000000001,15476
0,15507,0.09849999999999999,7172,0.4094,9413,0.5134000000000001,7172,9.9554,7172,0.0077,15544
0,15418,0.0984,7163,0.3958,9324,0.502,7163,9.7766,7163,0.0014000000000000002,15455
0,15418,0.10460000000000001,6451,0.3986,8904,0.5058,6451,9.8397,6451,0.0014000000000000002,15455
0,15508,0.09269999999999999,5488,0.4077,8596,0.5009,5488,9.772,5488,0.0014000000000000002,15545
0,15513,0.0971,6145,0.4012,9001,0.5042,6145,9.8469,6145,0.0014000000000000002,15550
0,15503,0.09519999999999999,6718,0.4,9001,0.5007,6718,9.7971,6718,0.0014000000000000002,15540
0,15429,0.09820000000000001,8346,0.268,17290,0.4949,8346,10.656500000000001,8346,0.0014000000000000002,15466
0,15515,0.0986,8324,0.3801,10662,0.5042,8324,10.085,8324,0.0014000000000000002,15552
0,15510,0.0978,4788,0.45380000000000004,6501,0.5197999999999999,4788,9.6191,4788,0.0014000000000000002,15547
0,15511,0.1018,7567,0.405,9826,0.5193,7567,9.895800000000001,7567,0.0013,15548
0,15513,0.096,6143,0.4114,8998,0.5191,6143,9.845,6143,0.0014000000000000002,15550
0,15432,0.09380000000000001,5052,0.4153,8929,0.5183,5052,9.799900000000001,5052,0.0012,15469
0,15506,0.09380000000000001,5352,0.43200000000000005,6870,0.5067,5352,7.8373,5352,0.0012,15543
0,15518,0.1124,8430,0.2645,17379,0.4953,8430,10.589400000000001,8430,0.0014000000000000002,15555
